avgtempF,totalSnow,humid,wind,precip,sunHour,year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,label
56.85714285714285,0.0,64.96428571428571,3.892857142857143,0.0249999999999999,10.321428571428571,2016,False,True,False,False,False,False,False,False,False,False,False,False,0
63.266666666666666,0.0,49.9,6.233333333333333,0.0166666666666666,14.433333333333334,2010,False,False,False,False,False,True,False,False,False,False,False,False,0
63.483870967741936,0.0,68.25806451612904,6.935483870967742,0.0096774193548387,13.054838709677416,2015,False,False,False,False,True,False,False,False,False,False,False,False,0
52.86666666666667,0.0,58.7,5.3,0.1933333333333333,7.796666666666666,2012,False,False,False,False,False,False,False,False,False,False,True,False,0
42.36666666666667,1.6246719160104988,59.9,5.766666666666667,0.3,8.053333333333331,2012,False,False,False,False,False,False,False,False,False,False,True,False,0
46.67741935483871,0.0203200406400812,43.61290322580645,4.709677419354839,0.0064516129032258,11.006451612903222,2018,False,False,False,False,False,False,False,False,False,True,False,False,0
70.87096774193549,0.0,38.483870967741936,5.096774193548387,0.0483870967741935,14.112903225806456,2013,False,False,False,False,False,False,True,False,False,False,False,False,1
74.76666666666667,0.0,38.16666666666666,4.366666666666666,0.0133333333333333,11.546666666666669,2010,False,False,False,False,False,False,False,False,True,False,False,False,0
55.70967741935484,0.0,67.09677419354838,5.129032258064516,0.2096774193548387,10.64516129032258,2014,False,False,True,False,False,False,False,False,False,False,False,False,0
83.73333333333333,0.0,27.7,4.9,0.0,11.593333333333334,2020,False,False,False,False,False,False,False,False,True,False,False,False,1
99.41935483870968,0.0,20.032258064516128,6.451612903225806,0.0,12.154838709677426,2009,False,False,False,False,False,False,False,True,False,False,False,False,0
50.5,0.0,65.28571428571429,5.178571428571429,0.275,9.549999999999995,2019,False,True,False,False,False,False,False,False,False,False,False,False,0
58.096774193548384,0.0,59.25806451612903,6.225806451612903,0.032258064516129,11.032258064516132,2010,False,False,True,False,False,False,False,False,False,False,False,False,0
49.064516129032256,0.0,44.516129032258064,6.096774193548387,0.0032258064516129,8.480645161290319,2011,False,False,False,False,False,False,False,False,False,False,False,True,0
75.7741935483871,0.0,49.64516129032258,7.741935483870968,0.0,13.090322580645172,2008,False,False,False,False,False,False,True,False,False,False,False,False,1
79.70967741935483,0.0,39.80645161290322,5.096774193548387,0.0032258064516129,11.600000000000003,2011,False,False,False,False,False,False,False,True,False,False,False,False,1
80.03225806451613,0.0,52.67741935483871,4.32258064516129,0.0225806451612903,11.600000000000003,2008,False,False,False,False,False,False,False,True,False,False,False,False,1
63.8,0.0,65.4,5.066666666666666,0.07,14.263333333333332,2009,False,False,False,False,False,True,False,False,False,False,False,False,0
79.96774193548387,0.0,40.2258064516129,4.451612903225806,0.0967741935483871,14.106451612903228,2015,False,False,False,False,False,False,True,False,False,False,False,False,1
49.25806451612903,0.0,49.70967741935484,6.354838709677419,0.0096774193548387,8.264516129032254,2015,False,False,False,False,False,False,False,False,False,False,False,True,1
77.06666666666666,0.0,47.7,5.233333333333333,0.02,14.156666666666668,2016,False,False,False,False,False,True,False,False,False,False,False,False,0
59.4,0.0,71.53333333333333,10.8,0.01,11.166666666666668,2013,False,False,False,True,False,False,False,False,False,False,False,False,0
72.3225806451613,0.0,50.38709677419355,5.903225806451613,0.0032258064516129,13.680645161290329,2014,False,False,False,False,True,False,False,False,False,False,False,False,1
100.35483870967742,0.0,16.322580645161292,3.903225806451613,0.0129032258064516,12.003225806451615,2018,False,False,False,False,False,False,False,True,False,False,False,False,0
41.41935483870968,0.2044704089408179,72.74193548387096,6.064516129032258,0.1419354838709677,9.058064516129036,2018,True,False,False,False,False,False,False,False,False,False,False,False,0
53.13333333333333,0.0,73.8,3.7666666666666666,0.1633333333333333,10.2,2019,False,False,False,True,False,False,False,False,False,False,False,False,0
37.16129032258065,1.174752349504699,83.12903225806451,7.645161290322581,0.2870967741935484,10.070967741935483,2009,False,False,True,False,False,False,False,False,False,False,False,False,0
